Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NZ_CP015299.1	CtrE-547_plasmid	Chlamydia trachomatis strain E-547	7611
NCBI	NC_019756.1	pCRI9333.08	Crinalium epipsammum PCC 9333	4554
NCBI	NZ_CP015783.1	cp32-13	Borrelia mayonii strain MN14-1420	28266
NCBI	NZ_CP004881.1	pBMB8513	Bacillus thuringiensis serovar kurstaki str. HD-1	8636
NCBI	NC_011396.1	repF	Bacillus licheniformis pFL7	1686
NCBI	NC_010367.1	PHS4	Halobacterium salinarum R1	41480
NCBI	NZ_CP019295.1	pLMB157	Vibrio campbellii strain LMB29	159319
NCBI	NZ_AP014802.1	Plasmid2	Rhodovulum sulfidophilum	107655
NCBI	NZ_CP007515.1	1	Rubrobacter radiotolerans strain RSPS-4	193617
NCBI	NZ_CP020088.1	unnamed2	Shigella flexneri 1a strain 0670	48357
NCBI	NC_011657.1	pAH187_3	Bacillus cereus AH187	3137
NCBI	NZ_CP016765.1	pOZ182	Citrobacter freundii strain B38	18732
NCBI	NZ_CM003775.1	pSYAB1	Escherichia coli strain SYAB2	1575
NCBI	NC_005701.1	pZMO2	Zymomonas mobilis ATCC 10988	1694
NCBI	NZ_CP009918.1	pBMV_4	Bacillus megaterium NBRC 15308 = ATCC 14581	10763
NCBI	NZ_CP018775.2	unnamed5	Escherichia coli strain 2016C-3936C1	177346
NCBI	NZ_CP010187.1	A	Escherichia coli strain M6	148670
NCBI	NZ_CM007909.1	unnamed2	Escherichia coli strain CH613_eco	75001
NCBI	NZ_CP011521.2	pPO70-4	Pandoraea oxalativorans strain DSM 23570	35480
NCBI	NZ_CP016485.1	unnamed2	Synechococcus sp. PCC 8807	13342
NCBI	NZ_CP010357.1	pXBB1-6	Acinetobacter johnsonii XBB1	13522
NCBI	NC_009753.1	pMTH1	Paracoccus methylutens strain DM12	32458
NCBI	NC_008350.1	pSpnP1	Streptococcus pneumoniae pSpnP1	5492
NCBI	NZ_CP017753.1	unnamed1	Cupriavidus sp. USMAHM13	282165
NCBI	NC_007183.1	from	Sodalis glossinidius pSG1	82720
NCBI	NZ_CP023358.1	p100	Escherichia coli strain 317	101438
NCBI	NC_018685.1	pMC95	Bacillus thuringiensis MC28	96798
NCBI	NZ_CP014531.1	pl2	Enterococcus faecium strain E745	32888
NCBI	NZ_CP011282.1	p1	Enterococcus faecium strain E39	154619
NCBI	NC_005011.1	pMW2	Staphylococcus aureus	20951
NCBI	NC_006363.1	pNF2	Nocardia farcinica IFM 10152	88339
NCBI	NC_017811.1	clone	Borrelia crocidurae str. Achema	4202
NCBI	NZ_CP013497.1	pRspN621b	Rhizobium sp. N621	445865
NCBI	NZ_CP022448.1	pC1L8	Bacillus cereus strain C1L	10624
NCBI	NZ_CP012003.1	Unknown	Xanthomonas fuscans subsp. aurantifolii strain 1566	36030
NCBI	NZ_CP017255.1	pCt2	Clostridium taeniosporum strain 1/k	70746
NCBI	NZ_CM004487.1	pNGF2_pCol_let_like	Escherichia coli strain NGF2	8809
NCBI	NC_010881.1	pSJ5.2	Neisseria gonorrhoeae	5236
NCBI	NZ_CP021899.1	unitig_4_pilon	Enterobacter cloacae strain AR_0050	70631
NCBI	NZ_CP018958.1	pEC422_4	Escherichia coli strain Ecol_422	53959
NCBI	NC_011367.1	pGDIA01	Gluconacetobacter diazotrophicus PAl 5	27849
NCBI	NZ_CP020580.1	pSSMA17_1	Acinetobacter baumannii strain SSMA17	92274
NCBI	NZ_CM004377.1	PB1000	[Haemophilus] ducreyi strain AUSPNG1	4832
NCBI	NZ_AP014955.1	pKO_JKo3_4	Klebsiella oxytoca	3954
NCBI	NC_014619.1	pRCEID3.2	Lactobacillus casei strain TISTR1341	3298
NCBI	NC_012104.1	64b_cp26	Borrelia burgdorferi 64b	26905
NCBI	NC_010847.2	pAMI2	Paracoccus aminophilus strain JCM 7686	18830
NCBI	NZ_AP012546.1	pLBCZ-2	Lactobacillus casei subsp. casei ATCC 393	1346
NCBI	NZ_CP014493.1	pMVAST0167_1	Escherichia coli strain MVAST0167	130139
NCBI	NC_017137.1	pAPA12-060	Acetobacter pasteurianus IFO 3283-12	1842
NCBI	NZ_CP019049.1	pRJA166b	Klebsiella pneumoniae subsp. pneumoniae strain RJA166	231880
NCBI	NZ_CP011337.1	Unknown	Escherichia coli O104:H4 str. C227-11	18074
NCBI	NC_013056.1	pMMCU1	Acinetobacter calcoaceticus strain Acal H12O-07	8898
NCBI	NC_019981.1	pB1018	Pasteurella multocida	6162
NCBI	NZ_CP015799.1	cp32-13	Borrelia mayonii strain MN14-1539	28266
NCBI	NZ_CP019694.1	p75-02_6	Shigella sonnei strain 75/02	3672
NCBI	NC_015147.1	pASPHE302	Pseudarthrobacter phenanthrenivorans Sphe3	95807
NCBI	NC_019015.1	pFLIM02	Fibrisoma limi BUZ 3	14598
NCBI	NZ_CP019854.1	lp54	Borreliella burgdorferi	54418
NCBI	NZ_CP018998.1	pECAZ153_2	Escherichia coli strain Ecol_AZ153	100422
NCBI	NC_019222.1	pHW30076	Rahnella aquatilis	5942
NCBI	NZ_CP018817.1	unitig_1	Klebsiella pneumoniae strain AR_0049	142838
NCBI	NC_003425.1	pWb1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	5357
NCBI	NZ_CP007056.1	Unknown	Halostagnicola larsenii XH-48	581877
NCBI	NC_007203.1	pDAN-involved	Bacillus thuringiensis	7009
NCBI	NC_000951.1	cp32-6	Borrelia burgdorferi B31	30266
NCBI	NZ_CP006582.1	pMHa	Mesorhizobium huakuii 7653R	196606
NCBI	NZ_CP012834.1	pCFSAN001588_001	Salmonella enterica subsp. enterica serovar Cerro str. CFSAN001588	54724
NCBI	NZ_CP008799.1	pKPN-819	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	58881
NCBI	NC_007387.1	pSci1	Spiroplasma citri pSci1	13176
NCBI	NZ_CP021690.1	tig00007555j7554	Escherichia coli strain AR_0058	165376
NCBI	NZ_CP016369.1	pP97_e	Phaeobacter porticola strain P97	53575
NCBI	NC_017942.1	pHM100	Haloferax mediterranei ATCC 33500	131057
NCBI	NZ_CP013915.1	pSF002	Serratia fonticola strain GS2	95078
NCBI	NC_020306.1	pCFSAN001992_1	Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992	24357
NCBI	NC_010540.1	pKL0018	Lactococcus garvieae	20322
NCBI	NZ_CP006727.1	lcp3	Leptospira interrogans serovar Linhai str. 56609	55773
NCBI	NZ_CP015597.1	pMYC1	Mycobacterium sp. YC-RL4	256178
NCBI	NZ_CP009017.1	pXAC33	Xanthomonas citri subsp. citri strain gd2	34186
NCBI	NZ_CP010087.1	Unknown	Bacillus thuringiensis strain 97-27	77947
NCBI	NZ_CP019793.1	pJX1	Chlamydia gallinacea strain JX-1	7601
NCBI	NZ_CP013221.1	PDM02	Salmonella enterica subsp. enterica serovar Anatum strain GT-01	113780
NCBI	NC_019242.1	pS51B	Enterobacter cloacae	4925
NCBI	NC_015219.1	pSGG1	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069	21063
NCBI	NZ_CP016685.1	p158A	Lactococcus lactis subsp. cremoris strain 158	76194
NCBI	NZ_CP012271.1	pL21532-2	Pediococcus damnosus strain TMW 2.1532	17754
NCBI	NC_017821.1	clone	Borrelia crocidurae str. Achema	2506
NCBI	NZ_CP012521.1	pXO2	Bacillus anthracis strain Larissa	96107
NCBI	NZ_CP013294.1	pAR01	Chryseobacterium sp. IHB B 17019	5639
NCBI	NZ_CP018831.1	p2_ISMMS_VRE9	Enterococcus faecium strain ISMMS_VRE_9	47416
NCBI	NZ_CM007912.1	unnamed5	Escherichia coli strain CH613_eco	3221
NCBI	NZ_CP012450.1	ISMMS_VRE4_p1	Enterococcus faecium strain ISMMS_VRE_4	6875
NCBI	NC_015715.1	pZYMOP01	Zymomonas mobilis subsp. pomaceae ATCC 29192	37923
NCBI	NC_005205.1	pPSR1	Pseudomonas syringae pv. syringae A2	73640
NCBI	NZ_CP021692.1	tig00001251	Escherichia coli strain AR_0151	46822
NCBI	NC_020527.1	pSymA	Sinorhizobium meliloti 2011	1371885
NCBI	NZ_CP019580.1	pDel1_4	Clostridium perfringens strain Del1	50440
NCBI	NZ_CM001874.1	unnamed-p3	Xanthomonas campestris pv. campestris str. CN14	4065
NCBI	NZ_CP009292.1	pLA3	Novosphingobium pentaromativorans US6-1	767641
NCBI	NZ_CP010358.1	pXBB1-8	Acinetobacter johnsonii XBB1	119163
NCBI	NZ_CP013191.1	pFORC31.1	Escherichia coli strain FORC_031	108042
NCBI	NC_011260.1	pl53	Borrelia recurrentis A1	53527
NCBI	NC_020281.1	19-pEI1	Edwardsiella ictaluri strain 19s	4009
NCBI	NC_020531.1	pI2T2	Staphylococcus aureus subsp. aureus ST228	31296
NCBI	NZ_CP011121.1	unnamed1	Acetobacter sp. SLV-7	167738
NCBI	NC_019314.1	pMOS7	Paracoccus marcusii	6066
NCBI	NZ_CP016708.1	pUC109B	Lactococcus lactis subsp. cremoris strain UC109	48952
NCBI	NZ_CP015806.1	lp28-3	Borrelia mayonii strain MN14-1539	28208
NCBI	NC_012760.1	pCBM588	Clostridium butyricum	8177
NCBI	NC_022913.1	Unknown	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	34401
NCBI	NZ_CP005961.1	Unknown	Pseudomonas mandelii JR-1	416378
NCBI	NZ_CP018353.1	pCAV1453-14	Klebsiella pneumoniae strain CAV1453	14040
NCBI	NC_014627.1	pLPI8	Lactobacillus plantarum	1833
NCBI	NC_011003.1	Unknown	Burkholderia cenocepacia J2315 pBCJ2315	93986
NCBI	NZ_CP016799.1	pl12112-2	Lactobacillus brevis strain TMW 1.2112	39198
NCBI	NC_020295.1	2s-pEI2	Edwardsiella ictaluri strain 2s	9235
NCBI	NC_011263.1	pl6	Borrelia recurrentis A1	6220
NCBI	NC_019275.1	pP32BP1	Psychrobacter sp. DAB_AL32B	4666
NCBI	NZ_CP017653.1	Unknown	Acinetobacter baumannii strain KAB06	71898
NCBI	NC_007608.1	pSB4_227	Shigella boydii Sb227	128508
NCBI	NZ_CM008108.1	pSOL1	Clostridium acetobutylicum strain ATCC 55025	194564
NCBI	NC_020303.1	pCha1	Corynebacterium halotolerans YIM 70093 = DSM 44683	87490
NCBI	NC_011849.1	156a_cp32-4	Borrelia burgdorferi 156a	30734
NCBI	NZ_CP015738.1	pShin-02	Shinella sp. HZN7	452173
NCBI	NZ_CP010398.1	p6200-114.848kb	Acinetobacter baumannii strain 6200	116490
NCBI	NZ_CP011066.1	pSJ_3	Escherichia coli str. Sanji	3423
NCBI	NC_010394.1	Unknown	Mycobacterium abscessus	23654
NCBI	NC_001845.1	pZMO1	Zymomonas mobilis ATCC10988	1705
NCBI	NZ_CP019905.1	unnamed6	Escherichia coli strain MDR_56	144338
NCBI	NZ_CP014361.1	Unknown	Methylomonas sp. DH-1	281846
NCBI	NC_013970.2	pISP3	Sphingomonas sp. MM-1	5374
NCBI	NZ_CP007734.1	pKPN-262	Klebsiella pneumoniae subsp. pneumoniae KPNIH27	343692
NCBI	NC_032098.1	pEC4365	Enterobacter cloacae strain EC4365	15893
NCBI	NZ_CP020734.1	pLm3	Leuconostoc mesenteroides subsp. mesenteroides FM06	8895
NCBI	NC_010283.1	pFR55	Bacillus thuringiensis	56509
NCBI	NC_019564.1	p1HPAKL86	Helicobacter pylori Aklavik86	12288
NCBI	NC_014333.1	pBAslCI14	Bacillus cereus biovar anthracis str. CI	14424
NCBI	NZ_CP012708.1	2	Psychrobacter urativorans strain R10.10B	15829
NCBI	NZ_CP013966.1	pAhD4-1	Aeromonas hydrophila strain D4	158317
NCBI	NC_012562.1	pCC3	Leuconostoc citreum strain C4	3387
NCBI	NC_019251.1	pSF301-1	Shigella flexneri	1573
NCBI	NC_010684.1	pKH21	Staphylococcus aureus	2569
NCBI	NZ_CP016590.1	pBTKNU07-02	Bacillus thuringiensis strain KNU-07	297788
NCBI	NZ_CP019881.1	pKNA06	Komagataeibacter nataicola strain RZS01	26136
NCBI	NZ_CP014400.1	pUSA05-1-SUR10	Staphylococcus aureus strain USA300-SUR10	2510
NCBI	NC_013211.1	pAPA01-020	Acetobacter pasteurianus IFO 3283-01	185555
NCBI	NZ_CP014884.1	pL11991-3	Lactobacillus backii strain TMW 1.1991	71995
NCBI	NC_013210.1	pAPA01-011	Acetobacter pasteurianus IFO 3283-01	194540
NCBI	NZ_CP015092.1	pPABY3	Pelagibaca abyssi strain JLT2014	158588
NCBI	NC_019358.1	pCP8533S12	Clostridium perfringens	12062
NCBI	NC_007487.1	pREC2	Rhodococcus erythropolis PR4	3690
NCBI	NC_017572.1	pSBAL17502	Shewanella baltica BA175	61830
NCBI	NZ_CP022009.1	pls3	Burkholderia gladioli pv. gladioli strain KACC 11889	26859
NCBI	NZ_CP009581.1	unnamed	Escherichia coli FAP1	63277
NCBI	NC_011735.1	ZS7_cp32-12	Borrelia burgdorferi ZS7	30233
NCBI	NC_016597.1	AZOBR_p6	Azospirillum brasilense Sp245	169756
NCBI	NZ_CP013637.1	pRspN541a	Rhizobium sp. N541	305256
NCBI	NZ_AGTD01000002.1	pUMNF18_IncI1	Escherichia coli UMNF18	70053
NCBI	NZ_CP006368.1	pAU20a	Aureimonas sp. AU20	495874
NCBI	NZ_ADWW01000012.1	pBM69	Bacillus methanolicus MGA3	69984
NCBI	NC_009507.1	pSWIT01	Sphingomonas wittichii RW1	314661
NCBI	NC_016823.1	B	Shigella sonnei 53G	5228
NCBI	NC_009619.1	pSJH101	Staphylococcus aureus subsp. aureus JH1	30865
NCBI	NC_010857.1	p6043A	Bifidobacterium longum	4967
NCBI	NZ_CP012123.1	LZ95p1	Lactobacillus plantarum strain LZ95	49251
NCBI	NZ_CP016831.1	pFap21-1	Xanthomonas fragariae isolate Fap21	29651
NCBI	NC_019217.1	pHHV216	Uncultured bacterium HHV216	59108
NCBI	NZ_CM007640.1	pISMMS_VRE6_2	Enterococcus faecium strain ISMMS_VRE_6	64946
NCBI	NZ_CP018936.1	unnamed1	Bacillus cereus strain JEM-2	96019
NCBI	NZ_CP013454.1	pMSMB608	Burkholderia vietnamiensis strain MSMB608WGS	130417
NCBI	NZ_CP019564.1	pSR01	Staphylococcus aureus strain SR434	20955
NCBI	NC_006827.2	pCF10	Enterococcus faecalis	68641
NCBI	NZ_CP016927.1	unnamed1	Klebsiella pneumoniae isolate 23	73124
NCBI	NZ_CP018740.1	pKp_Goe_641-4	Klebsiella pneumoniae strain Kp_Goe_121641	4111
NCBI	NC_009037.1	pSbal03	Shewanella baltica OS155	17003
NCBI	NC_022649.1	pJJ1886_2	Escherichia coli JJ1886	5242
NCBI	NC_011981.1	pAtS4e	Agrobacterium vitis S4	640802
NCBI	NZ_CP016942.1	unnamed1	Yersinia enterocolitica strain YE3	102229
NCBI	NZ_CP011916.1	pPSUO2	Escherichia coli strain PSUO2	112548
NCBI	NZ_CP015618.1	p3AsACE	Acinetobacter schindleri strain ACE	14260
NCBI	NZ_CP011606.1	pCAV1321-4310	Citrobacter freundii strain CAV1321	4373
NCBI	NC_016635.1	pPECL-1	Pediococcus claussenii ATCC BAA-344	1842
NCBI	NC_009841.1	pBMB67	Bacillus thuringiensis	68120
NCBI	NZ_CP016527.1	p09-036813-1A_3	Salmonella enterica subsp. enterica serovar Heidelberg strain 09-036813-1A	3091
NCBI	NZ_CP018439.1	pKp_Goe_917-8	Klebsiella pneumoniae strain Kp_Goe_822917	1962
NCBI	NC_008688.1	1	Paracoccus denitrificans PD1222	663157
NCBI	NZ_CP022289.1	pSX01705-2	Bacillus subtilis strain SX01705	16740
NCBI	NC_009897.1	pRMA	Rickettsia massiliae MTU5	15506
NCBI	NZ_AWFJ01000122.1	pO111_4	Escherichia coli 95JB1	7338
NCBI	NC_011081.1	pSL476_91	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	92681
NCBI	NC_021199.1	pKPX-2	Klebsiella pneumoniae subsp. pneumoniae KPX	143569
NCBI	NC_021209.1	pSinA	Sinorhizobium sp. M14	110496
NCBI	NC_022782.1	pBCT77	Bacillus toyonensis BCT-7112	78075
NCBI	NZ_CP009619.1	p380	Vibrio coralliilyticus strain RE98	386154
NCBI	NZ_CP019570.1	pCP15_3	Clostridium perfringens strain CP15	3899
NCBI	NC_012156.1	CA-11.2A_cp32-13	Borrelia burgdorferi CA-11.2a	30519
NCBI	NC_017966.1	pTM2	Tistrella mobilis KA081020-065	700049
NCBI	NC_013860.1	pAB510f	Azospirillum sp. B510	265335
NCBI	NC_013653.1	pPR9	Staphylococcus aureus	42312
NCBI	NZ_CP022167.1	pM160133_p3	Escherichia coli strain M160133	115050
NCBI	NZ_CP017364.1	pL1277-1	Lactobacillus plantarum strain TMW 1.277	68956
NCBI	NZ_CP020333.1	pMM170	Martelella mediterranea DSM 17316 strain MACL11	172343
NCBI	NC_001833.1	Pp6859	Porphyra pulchra	6958
NCBI	NC_010312.2	pCB42	Leuconostoc citreum	4375
NCBI	NZ_CP012856.1	JZB09-Plasmid13	Persicobacter sp. JZB09	48260
NCBI	NC_019180.1	pA1606	Haemophilus influenzae	5728
NCBI	NZ_CP010865.1	pMaD10	Marinovum algicola DG 898	53264
NCBI	NZ_CP015802.1	cp32-6	Borrelia mayonii strain MN14-1539	17262
NCBI	NZ_CP009105.1	pO104_H7	Escherichia coli strain RM9387	170724
NCBI	NZ_CP006878.1	pRgalR602a	Rhizobium gallicum bv. gallicum R602	206660
NCBI	NC_002096.1	pKH7	Staphylococcus aureus	4178
NCBI	NZ_CP022158.1	pABWA45_4	Escherichia coli strain ABWA45	48586
NCBI	NC_018509.1	pBTHD789-2	Bacillus thuringiensis HD-789	238790
NCBI	NC_012723.1	bglu_1p	Burkholderia glumae BGR1	135501
NCBI	NZ_CP012634.1	pSF-166-1	Escherichia coli strain SF-166	115854
NCBI	NC_012200.1	A14S_lp17	Borreliella spielmanii A14S	25671
NCBI	NZ_CM007853.1	p4	Klebsiella pneumoniae strain KPN_KPC_HUG_B4	14047
NCBI	NC_020947.1	pBour	Chlamydia trachomatis E/Bour	7611
NCBI	NC_011962.1	pRSKD131A	Rhodobacter sphaeroides KD131	159594
NCBI	NZ_CP016939.1	unnamed1	Yersinia enterocolitica strain YE5	74079
NCBI	NZ_CP013946.1	pPsCRG01-1	Piscirickettsia salmonis strain PSCGR01	182402
NCBI	NZ_CM007851.1	pATCC14458-3	Staphylococcus aureus strain ATCC 14458	4507
NCBI	NZ_CP016283.1	pP27867_1	Cryobacterium arcticum strain PAMC 27867	119476
NCBI	NZ_CP006369.1	pAU20b	Aureimonas sp. AU20	442247
NCBI	NZ_CP017230.1	pFORC46.1	Campylobacter jejuni strain FORC_046	52260
NCBI	NC_009704.1	plasmid_59kb	Yersinia pseudotuberculosis IP 31758	59519
NCBI	NZ_AKYF01000029.1	pLS30	Brevibacillus brevis X23	6705
NCBI	NZ_CP015393.1	pCR14_1	Klebsiella pneumoniae strain CR14	205593
NCBI	NZ_CP022145.1	p704SK6_2	Klebsiella pneumoniae 704SK6	200495
NCBI	NC_018698.1	pKLC2	Leuconostoc carnosum JB16	30040
NCBI	NZ_CP023411.1	pLLY_N11_1	Clostridium perfringens strain LLY_N11	13555
NCBI	NZ_CP021688.1	tig00001189	Klebsiella pneumoniae strain AR_0146	91489
NCBI	NZ_CP009695.1	pXO2	Bacillus anthracis strain RA3	96095
NCBI	NZ_CP018225.1	pHSL4	Sphingomonas sp. JJ-A5	185251
NCBI	NZ_CP011049.1	CSK29544_2p	Cronobacter sakazakii strain ATCC 29544	5010
NCBI	NZ_CP021910.1	pST1120	Salmonella enterica subsp. enterica strain ST1120	6963
NCBI	NZ_CP021206.1	p1002-NDM1	Escherichia coli strain Z1002	113285
NCBI	NZ_CP013577.1	pRphaN671c	Rhizobium phaseoli strain N671	420542
NCBI	NC_017129.1	pAPA22-060	Acetobacter pasteurianus IFO 3283-22	1842
NCBI	NC_007208.1	pOU1113	Salmonella enterica OU7025	81303
NCBI	NC_001923.1	Dfp1	Dictyostelium firmibasis CR II 2B	5088
NCBI	NZ_CP012989.1	pKpN01-SIL	Klebsiella pneumoniae strain KpN01	135981
NCBI	NZ_CM007612.1	pNIES208a	Limnothrix rosea IAM M-220	74413
NCBI	NZ_CP021716.1	tig00000003	Klebsiella pneumoniae strain AR_0129	44123
NCBI	NZ_CP012963.1	Unknown	Rhodobacter sphaeroides strain MBTLJ-8	126101
NCBI	NZ_ALIR01000018.1	pWCA157-7.5	Acinetobacter radioresistens WC-A-157	7641
NCBI	NZ_CP007124.1	Unknown	Lactobacillus paracasei N1115	55910
NCBI	NC_020165.1	pSZ4	Staphylococcus warneri SG1	4438
NCBI	NZ_CP013488.1	pMBL96	Vibrio alginolyticus strain ATCC 33787	97237
NCBI	NZ_CP015841.1	p1274	Chlamydia gallinacea 08-1274/3	7729
NCBI	NC_017675.1	TY474p2	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	88151
NCBI	NC_022599.1	pLMV7	Micrococcus sp. V7	94142
NCBI	NZ_CP014318.1	pJJ1887-2	Escherichia coli JJ1887	5242
NCBI	NC_002757.1	pUA140	Streptococcus mutans UA140	5722
NCBI	NC_001857.2	lp54	Borrelia burgdorferi B31	54425
NCBI	NC_010183.1	pBWB404	Bacillus weihenstephanensis KBAB4	53586
NCBI	NZ_CP023152.1	pFLAC0070_1	Mycobacterium chimaera strain FLAC0070	251060
NCBI	NZ_CP011248.1	pAt	Agrobacterium tumefaciens strain Ach5	552536
NCBI	NZ_CP012912.1	pNSUI060a	Streptococcus suis strain NSUI060	11557
NCBI	NZ_CP018453.1	pKp_Goe_070-3	Klebsiella pneumoniae strain Kp_Goe_71070	4135
NCBI	NC_001889.1	Ddp5	Dictyostelium discoideum WS2162	15170
NCBI	NC_005311.1	pFL5	Bacillus licheniformis	9282
NCBI	NZ_CP020860.1	unnamed2	Lactobacillus salivarius strain ZLS006	20136
NCBI	NC_015679.1	pBge	Blattabacterium sp. (Blattella germanica) str. Bge	4145
NCBI	NZ_CP016943.1	unnamed2	Yersinia enterocolitica strain YE3	74071
NCBI	NZ_CP009009.1	pXAC64	Xanthomonas citri subsp. citri strain jx5	65841
NCBI	NC_006571.1	pNO33	Streptomyces albulus	37484
NCBI	NZ_CP019561.1	unnamed	Escherichia coli strain 1031	150652
NCBI	NZ_CP009675.1	cp-9	Borreliella burgdorferi strain B31	9522
NCBI	NZ_CP021032.1	pRspNXC14b	Rhizobium sp. NXC14	784060
NCBI	NZ_CP015881.1	pCasidaAA	Ensifer adhaerens strain Casida A	1761758
NCBI	NZ_CP012923.1	pSA02DT10168701_99	Salmonella enterica subsp. enterica serovar Heidelberg strain SA02DT10168701	100427
NCBI	NZ_CP023365.1	p92	Escherichia coli strain 144	93743
NCBI	NC_003527.1	p4M	Bifidobacterium pseudocatenulatum	4554
NCBI	NZ_CP015858.1	LZ227p1	Lactobacillus plantarum strain LZ227	75238
NCBI	NC_017636.1	pRK2	Escherichia coli W	5438
NCBI	NC_011366.1	pRLG202	Rhizobium leguminosarum bv. trifolii WSM2304	509118
NCBI	NZ_CP013664.1	pXAC64	Xanthomonas citri pv. citri strain jx-6	65848
NCBI	NZ_CP021821.1	accessoryA	Sinorhizobium meliloti strain M162	422217
NCBI	NZ_CP014913.1	pL11979-1	Lactobacillus paracollinoides strain TMW 1.1979	50892
NCBI	NZ_CP010388.1	p38547-1.476kb	Klebsiella pneumoniae strain 38547	1499
NCBI	NC_004979.1	pNB2	Thermoanaerobacterium thermosaccharolyticum	1910
NCBI	NZ_CP020886.1	unnamed1	Xanthomonas citri subsp. citri strain TX160149	125324
NCBI	NZ_CP015271.1	unnamed	Mycobacterium chimaera strain ZUERICH-2	15276
NCBI	NC_016615.1	pPRH	Arthrobacter rhombi strain PRH1	5073
NCBI	NZ_CP014607.1	pTC1	Endosymbiont 'TC1' of Trimyema compressum	36308
NCBI	NC_009955.1	pDSHI01	Dinoroseobacter shibae DFL 12	193229
NCBI	NC_010942.1	APP7_A	Actinobacillus pleuropneumoniae serovar 7 str. AP76	5768
NCBI	NC_017193.1	pABL	Arcobacter sp. L	2019
NCBI	NZ_CP013556.1	pRphaN931d	Rhizobium phaseoli strain N931	1182552
NCBI	NC_011248.1	pl35	Borrelia duttonii Ly	35792
NCBI	NZ_CM007888.1	unnamed	Campylobacter jejuni subsp. jejuni strain VA1	21100
NCBI	NC_013502.1	pRMAR01	Rhodothermus marinus DSM 4252	126922
NCBI	NZ_CP017377.1	pL1708-3	Lactobacillus plantarum strain TMW 1.708	14576
NCBI	NZ_CM007996.1	pMW2	Staphylococcus aureus strain SCPM-O-B-7905	20946
NCBI	NC_004531.1	pZMX101	Halorubrum saccharovorum	3975
NCBI	NZ_CP019319.1	pDOK1-4-7	Tateyamaria omphalii strain DOK1-4	46923
NCBI	NZ_CP014851.1	pHD120112	Bacillus thuringiensis strain HD12	114037
NCBI	NZ_CM002281.1	pSniv1	Streptomyces niveus NCIMB 11891	125095
NCBI	NC_017153.1	pCD1	Yersinia pestis D106004	69320
NCBI	NC_012989.1	p2METDI	Methylobacterium extorquens DM4 str. DM4	39132
NCBI	NC_005326.1	pCD6	[Clostridium] difficile	6929
NCBI	NZ_CP020542.1	pMOB	Sphingobium herbicidovorans strain MH	10112
NCBI	NZ_CP016549.1	unnamed3	Escherichia coli strain O177:H21	127848
NCBI	NZ_CM008161.1	pRspN4311e	Rhizobium sp. N4311	676113
NCBI	NZ_CP016452.1	pBSY16_1	Sinorhizobium sp. RAC02	2251878
NCBI	NZ_CP013152.1	unnamed1	Lactobacillus plantarum strain MF1298	27508
NCBI	NC_017189.1	pMC1	Bacillus amyloliquefaciens LL3	6856
NCBI	NC_006400.1	pSKU146	Spiroplasma kunkelii CR2-3x	14825
NCBI	NC_009427.1	pNL2	Novosphingobium aromaticivorans DSM 12444	494230
NCBI	NZ_CP016512.1	pSH14-028_37	Salmonella enterica subsp. enterica serovar Heidelberg strain SH14-028	38237
NCBI	NZ_CP019906.1	unnamed5	Escherichia coli strain MDR_56	29586
NCBI	NZ_CM007184.1	unnamed	Chlamydia psittaci strain Ho Re lower	7734
NCBI	NC_015973.1	pGB2001	Streptococcus agalactiae strain GB2001	5039
NCBI	NZ_CP017287.1	pKPGJ-3c	Klebsiella variicola strain GJ3	74435
NCBI	NZ_CM001903.1	unnamed-p6	Xanthomonas campestris pv. campestris str. CN16	1245
NCBI	NZ_CP009263.1	p93U204	Vibrio vulnificus strain 93U204	5802
NCBI	NZ_CP012626.1	pSF-468-1	Escherichia coli strain SF-468	112392
NCBI	NZ_CP010375.2	p34977-5.006kb	Enterobacter hormaechei subsp. steigerwaltii strain 34977	5080
NCBI	NZ_CP015166.1	unnamed2	Acetobacter pasteurianus subsp. ascendens strain LMG 1590	47481
NCBI	NZ_AGTD01000004.1	pUMNF18_IncFV	Escherichia coli UMNF18	105106
NCBI	NZ_CP019972.1	p114-2	Enterococcus faecium isolate 2014-VREF-114	130795
NCBI	NZ_CP010837.1	Unknown	Sphingomonas hengshuiensis strain WHSC-8	37381
NCBI	NZ_CP017992.1	pENT-2c5	Enterobacter cloacae complex sp. ABFPL	80176
NCBI	NZ_CP014832.1	genomic	Borrelia hermsii strain DAH-2E7	1360
NCBI	NZ_HG813246.1	1	Staphylococcus epidermidis PM221	59653
NCBI	NC_012961.1	pPAU1	Photorhabdus asymbiotica ATCC43949	29750
NCBI	NC_019247.1	p09PLY-2	Periwinkle leaf yellowing phytoplasma	3870
NCBI	NC_007490.2	D	Rhodobacter sphaeroides 2.4.1	102269
NCBI	NZ_CP007741.1	pBM19	Bacillus methanolicus MGA3	19449
